GEOID,eviction_2020, eviction_2021,eviction_2022,eviction_2023,own_occ_rate,corp_own_rate,median_yearbuilt,median_price,median_prslpr,mortgage,median_totrooms,median_bathrooms,median_bedrooms,median_lotsize,median_intersf,median_flip_horizon,median_price_diff,median_price_diff_pch,median_lasqbin,mean_month_horizon,buyer_llc_ind_sum,buyer_bus_ind_sum,buyer_trst_ind_sum,buyer_bnk_ind_sum,buyer_gse_ind_sum,buyer_gov_ind_sum,seller_llc_ind_sum,seller_llp_ind_sum,seller_bus_ind_sum,seller_trst_ind_sum,seller_bnk_ind_sum,seller_gse_ind_sum,seller_gov_ind_sum,flip_ind_sum,buy_side_flip_sum,sell_side_flip_sum,restype_R1F_sum,sum_institutional_investor,sum_large_investor,sum_medium_investor,sum_non_investor,sum_small_investor,sum_non_small_llc_investor,sum_small_llc_investor,count_1.FAM.RES,count_2.FAM.RES,count_3.FAM.RES,count_CONDOMINIUM,count_RES.DEV.LAND,percent_owners,num_sales_transactions,years,pop,male,female,pop_u18,pop_18_64,pop_65o,nhwhi,nhaa,nhna,nhas,nhpi,nhoth,nhmlt,lat,fam,hh,fhh,fhh2,fhh3,fhh4,fhh5,fhh6,fhh7o,nfhh,nfhh1,nfhh2,nfhh3,nfhh4,nfhh5,nfhh6,nfhh7o,acs_year,mhi,mhi_me,o_mhi,o_mhi_me,r_mhi,r_mhi_me
25025000302,2.0,0.0,2.0,2.0,0.4614670380687093,0.1132776230269266,1963.0,305500.0,117000.0,224625.0,5.0,2,3.0,1055.0,1053.0,1310.5,37500.0,13.01,1050.5,12.0,4,2,13,2,1,0,14,0,9,36,3,1,0,32,33,32,92,7.0,9.0,13.0,462.0,14.0,499.0,6.0,92.0,61.0,3.0,344.0,0.0,42.6,505,2010.0,3142.0,1568.0,1574.0,310.0,2497.0,335.0,2295.0,89.0,2.0,449.0,0.0,30.0,48.0,229.0,545.0,1276.0,545.0,289.0,135.0,85.0,28.0,7.0,1.0,731.0,321.0,215.0,150.0,29.0,12.0,3.0,1.0,2007-11,78198.0,15566.0,71569.0,8300.0,85455.0,25744.0
25025000401,1.0,6.0,8.0,4.0,0.2574484339190221,0.1764705882352941,1930.0,223950.0,86500.0,161375.0,4.0,1,2.0,760.0,760.0,966.5,33000.0,17.345,750.5,13.0,18,8,15,8,3,0,78,0,32,108,16,3,0,124,127,124,31,35.0,11.0,40.0,879.0,63.0,1004.0,24.0,31.0,77.0,21.0,881.0,0.0,35.2,1028,2010.0,5672.0,2732.0,2940.0,404.0,4087.0,1181.0,4089.0,132.0,2.0,1032.0,1.0,30.0,99.0,287.0,834.0,2877.0,834.0,520.0,162.0,75.0,37.0,19.0,21.0,2043.0,1250.0,463.0,186.0,98.0,31.0,9.0,6.0,2007-11,35104.0,11614.0,51563.0,25692.0,29583.0,11430.0
25025000402,4.0,1.0,3.0,1.0,0.3607532210109019,0.1605550049554014,1925.0,345000.0,16500.0,210650.0,4.0,1,2.0,1214.0,1166.0,1080.5,29477.0,13.42,1150.5,13.0,18,9,25,0,4,0,73,0,11,53,0,4,0,37,41,37,59,17.0,16.0,12.0,441.0,22.0,490.0,18.0,59.0,82.0,10.0,324.0,0.0,42.5,508,2010.0,3648.0,1902.0,1746.0,366.0,3024.0,258.0,2734.0,69.0,0.0,543.0,2.0,28.0,83.0,189.0,473.0,1461.0,473.0,250.0,91.0,60.0,31.0,18.0,23.0,988.0,439.0,278.0,133.0,92.0,24.0,8.0,14.0,2007-11,55459.0,7477.0,116667.0,34493.0,46800.0,8585.0
25025000502,4.0,0.0,21.0,6.0,0.2098092643051771,0.3260672116257947,1927.0,252375.0,90000.0,164000.0,4.0,1,2.0,760.0,760.0,1094.0,32000.0,14.515,750.5,12.0,16,2,20,3,1,0,131,0,3,29,6,1,0,60,62,60,3,10.0,14.0,19.0,622.0,29.0,676.0,18.0,3.0,7.0,7.0,665.0,0.0,35.0,694,2010.0,6303.0,2888.0,3415.0,85.0,5925.0,293.0,4719.0,268.0,6.0,704.0,2.0,16.0,142.0,446.0,391.0,1872.0,391.0,306.0,65.0,12.0,4.0,1.0,3.0,1481.0,998.0,343.0,83.0,37.0,10.0,3.0,7.0,2007-11,46205.0,9882.0,96648.0,16052.0,39342.0,18186.0
25025000503,1.0,2.0,3.0,3.0,0.2317210348706411,0.1327334083239595,1935.0,211750.0,105700.0,160000.0,3.0,1,1.0,638.0,637.0,1102.0,27500.0,15.26,650.5,14.0,5,4,12,2,2,0,9,0,5,27,3,2,1,57,59,57,1,8.0,8.0,10.0,539.0,25.0,583.0,7.0,1.0,2.0,2.0,581.0,0.0,25.6,590,2010.0,2211.0,1028.0,1183.0,54.0,2016.0,141.0,1739.0,55.0,2.0,264.0,0.0,11.0,44.0,96.0,246.0,1341.0,246.0,181.0,50.0,12.0,2.0,1.0,0.0,1095.0,667.0,347.0,60.0,18.0,1.0,1.0,1.0,2007-11,49531.0,24007.0,49688.0,30677.0,47337.0,30538.0
25025000504,7.0,17.0,10.0,16.0,0.2692036645525018,0.1818181818181818,1920.0,245000.0,92250.0,172000.0,4.0,1,1.0,713.5,715.0,1148.0,34500.0,14.2,750.5,13.0,15,14,23,0,2,0,95,0,12,63,1,1,0,101,102,101,6,24.0,17.0,33.0,880.0,26.0,965.0,15.0,6.0,14.0,6.0,931.0,0.0,27.6,980,2010.0,4985.0,2135.0,2850.0,160.0,4020.0,805.0,3862.0,168.0,4.0,537.0,3.0,11.0,82.0,318.0,534.0,2637.0,534.0,375.0,99.0,42.0,8.0,5.0,5.0,2103.0,1218.0,533.0,177.0,122.0,38.0,10.0,5.0,2007-11,33444.0,6758.0,75521.0,30500.0,26264.0,6202.0
25025000601,4.0,4.0,7.0,3.0,0.3583509513742072,0.1849894291754757,1922.0,335000.0,21300.0,228480.0,4.0,2,2.0,1221.0,1147.0,924.0,45500.0,16.255,1150.5,12.0,10,2,14,5,3,0,12,1,6,74,8,2,0,39,41,39,79,15.0,9.0,24.0,385.0,26.0,446.0,13.0,79.0,54.0,21.0,275.0,0.0,39.2,459,2010.0,3571.0,1842.0,1729.0,295.0,2846.0,430.0,2480.0,82.0,2.0,540.0,0.0,94.0,85.0,288.0,521.0,1450.0,521.0,259.0,134.0,79.0,24.0,13.0,12.0,929.0,438.0,250.0,132.0,69.0,27.0,10.0,3.0,2007-11,54635.0,4989.0,60833.0,23810.0,54386.0,4966.0
25025000602,15.0,45.0,42.0,43.0,0.2524115755627009,0.2073954983922829,1920.0,230000.0,110250.0,168211.0,4.0,1,1.0,696.0,695.0,1119.0,33250.0,16.955,650.5,12.0,10,4,13,2,1,0,23,0,6,16,3,2,0,47,46,47,16,12.0,5.0,24.0,344.0,17.0,390.0,12.0,16.0,20.0,10.0,334.0,0.0,31.3,402,2010.0,3974.0,1943.0,2031.0,476.0,3019.0,479.0,2137.0,424.0,3.0,635.0,2.0,28.0,104.0,641.0,667.0,1968.0,667.0,381.0,121.0,88.0,50.0,16.0,11.0,1301.0,854.0,286.0,80.0,37.0,26.0,10.0,8.0,2007-11,26648.0,8824.0,58667.0,16860.0,24457.0,10779.0
25025000701,4.0,18.0,22.0,10.0,0.2099712368168744,0.186960690316395,1964.0,251500.0,110625.0,179950.0,4.0,1,2.0,770.0,770.0,1152.5,35861.0,14.805,750.5,14.0,16,3,22,2,3,0,14,0,5,44,5,3,0,58,58,58,6,19.0,11.0,30.0,547.0,21.0,610.0,18.0,6.0,17.0,9.0,583.0,0.0,33.0,628,2010.0,4446.0,2238.0,2208.0,172.0,4106.0,168.0,3050.0,179.0,4.0,728.0,4.0,42.0,106.0,333.0,474.0,2294.0,474.0,315.0,95.0,37.0,19.0,5.0,3.0,1820.0,876.0,664.0,188.0,57.0,24.0,9.0,2.0,2007-11,51354.0,10444.0,100513.0,33654.0,45947.0,8795.0
25025000703,9.0,10.0,4.0,14.0,0.1030534351145038,0.3091603053435114,1920.0,269600.0,115000.0,185600.0,4.0,1,2.0,1034.0,1034.0,1079.0,25500.0,10.37,1050.5,12.0,13,3,3,2,0,0,5,0,5,12,2,0,0,13,13,13,3,2.0,4.0,9.0,122.0,14.0,137.0,14.0,3.0,7.0,13.0,109.0,0.0,42.4,151,2010.0,2791.0,1391.0,1400.0,58.0,2690.0,43.0,1708.0,85.0,3.0,662.0,1.0,57.0,93.0,182.0,157.0,1395.0,157.0,94.0,33.0,18.0,8.0,2.0,2.0,1238.0,644.0,364.0,145.0,60.0,16.0,2.0,7.0,2007-11,20129.0,4575.0,78511.0,3228.0,19068.0,7109.0
25025000704,17.0,25.0,29.0,28.0,0.1619718309859155,0.2288732394366197,1920.0,232000.0,120904.0,159849.0,4.0,1,2.0,796.0,795.0,1021.0,32000.0,13.03,750.5,12.0,23,9,29,4,5,0,45,0,17,83,12,3,1,94,94,94,6,31.0,17.0,28.0,685.0,37.0,774.0,24.0,6.0,15.0,8.0,742.0,0.0,33.6,798,2010.0,4801.0,2458.0,2343.0,243.0,4393.0,165.0,2873.0,288.0,3.0,874.0,4.0,73.0,111.0,575.0,512.0,2350.0,512.0,286.0,118.0,59.0,25.0,16.0,8.0,1838.0,943.0,543.0,176.0,118.0,36.0,14.0,8.0,2007-11,44774.0,4743.0,80106.0,14894.0,42019.0,7297.0
25025000802,23.0,28.0,37.0,42.0,0.2309801233721727,0.2844413982179575,1920.0,357000.0,2500.0,251829.5,4.0,2,2.0,1522.5,1322.0,946.0,39927.5,14.56,1350.5,11.0,44,16,25,3,1,0,61,0,29,70,9,1,0,75,75,75,91,60.0,22.0,39.0,582.0,63.0,721.0,45.0,91.0,127.0,78.0,395.0,0.0,38.9,766,2010.0,8136.0,4611.0,3525.0,671.0,7137.0,328.0,4292.0,318.0,6.0,1565.0,3.0,250.0,236.0,1466.0,924.0,3011.0,924.0,382.0,201.0,164.0,88.0,31.0,58.0,2087.0,744.0,691.0,292.0,179.0,100.0,42.0,39.0,2007-11,36881.0,8559.0,93125.0,31755.0,28109.0,9589.0
25025000803,0.0,1.0,0.0,0.0,0.1066666666666666,0.1066666666666666,1900.0,595000.0,122000.0,322700.0,7.0,2,2.0,4000.0,1865.0,531.0,95750.0,19.445,1850.5,17.0,2,0,1,0,0,0,1,0,0,2,0,0,0,4,4,4,7,1.0,0.0,0.0,18.0,0.0,17.0,2.0,7.0,1.0,0.0,6.0,0.0,63.2,19,2010.0,6584.0,2879.0,3705.0,189.0,6307.0,88.0,3935.0,384.0,8.0,1400.0,1.0,25.0,255.0,576.0,260.0,882.0,260.0,132.0,60.0,47.0,16.0,4.0,1.0,622.0,414.0,184.0,20.0,4.0,0.0,0.0,0.0,2007-11,28304.0,10253.0,0.0,0.0,28125.0,10232.0
